id,kode_provinsi,nama_provinsi,jabatan,jumlah_pns,satuan,tahun
1,32,JAWA BARAT,ANALISIS KEPEGAWAIAN,78,ORANG,2016
2,32,JAWA BARAT,APOTEKER,240,ORANG,2016
3,32,JAWA BARAT,ARSIPARIS,263,ORANG,2016
4,32,JAWA BARAT,ASISTEN PENATA KOMPUTER,864,ORANG,2016
5,32,JAWA BARAT,AUDITOR,437,ORANG,2016
6,32,JAWA BARAT,DOKTER,2930,ORANG,2016
7,32,JAWA BARAT,DOKTER GIGI,726,ORANG,2016
8,32,JAWA BARAT,FISIOTERAPI,88,ORANG,2016
9,32,JAWA BARAT,GURU,177035,ORANG,2016
10,32,JAWA BARAT,INSTRUKTUR LATIHAN KERJA,25,ORANG,2016
11,32,JAWA BARAT,PARAMEDIK VETERINER,31,ORANG,2016
12,32,JAWA BARAT,NUTRISIONIS,714,ORANG,2016
13,32,JAWA BARAT,PAMONG BUDAYA,36,ORANG,2016
14,32,JAWA BARAT,PEKERJA SOSIAL,74,ORANG,2016
15,32,JAWA BARAT,PENELITI,4,ORANG,2016
16,32,JAWA BARAT,PENERA,65,ORANG,2016
17,32,JAWA BARAT,PENGANTAR KERJA,28,ORANG,2016
18,32,JAWA BARAT,PENGAWAS BENIH TANAMAN,81,ORANG,2016
19,32,JAWA BARAT,PENGAWAS BIBIT TERNAK,11,ORANG,2016
20,32,JAWA BARAT,PENGAWAS KETENAGAKERJAAN,101,ORANG,2016
21,32,JAWA BARAT,PENGAWAS MUTU HASIL PERTANIAN,16,ORANG,2016
22,32,JAWA BARAT,PENGAWAS SEKOLAH,2018,ORANG,2016
23,32,JAWA BARAT,PENGENDALI OPT,270,ORANG,2016
24,32,JAWA BARAT,PENGUJI KENDARAAN BERMOTOR,227,ORANG,2016
25,32,JAWA BARAT,PENYULUH KESEHATAN MASYARAKAT,215,ORANG,2016
26,32,JAWA BARAT,PENYULUH PERTANIAN,1271,ORANG,2016
27,32,JAWA BARAT,PERANTARA HUBUNGAN INDUSTRIAL,7,ORANG,2016
28,32,JAWA BARAT,PERAWAT,11162,ORANG,2016
29,32,JAWA BARAT,PERAWAT GIGI,955,ORANG,2016
30,32,JAWA BARAT,PEREKAM MEDIS,158,ORANG,2016
31,32,JAWA BARAT,PERENCANA,132,ORANG,2016
